"gamma i of the SFR fission products (solid ONLY) calculated with EFR",,,,,,,,,,,,,,,,,,,,,
"PF","U238","U236","U235","U234","U233","th232","pu242","pu241","pu240","pu239","pu238","np238","np237","cm245","cm244","cm243","am243","am242m","am241",,
"Ag109",0.0009390361,0.000606548,0.0002520209,0.0002864878,0.0004293465,0.0003035309,0.01616093,0.01241158,0.009660605,0.00817236,0.002409962,0.002296294,0.001844003,0.0307843,0.02570609,0.02456304,0.02448093,0.01886701,0.01296664,,0.000000000165453239208052
"Ag111",0.000004540929,0.000007292513,0.000001864082,0.000006373402,0.000004430511,0.0000047191,0.00007876526,0.0000471354,0.0000364307,0.00002917872,0.000007844184,0.00001527447,0.00001230419,0.0008081353,0.000418981,0.0004204125,0.0002641831,0.0001707604,0.0000706834,,
"As75",0.000004026208,0.00001301106,0.000007583331,0.00002380784,0.00002496581,0.00001855876,0.00001147679,0.00001155699,0.000007876337,0.00001863471,0.00001260917,0.00001227878,0.00002298219,0.00001120692,0.00001027864,0.00001022007,0.000009723916,0.00001006342,0.00002712056,,
"Ba134",0.000397883,0.0002114988,0.0004415853,0.0002423502,0.0003515933,0.0002758448,0.0003896757,0.0004209834,0.0004066289,0.0004195357,0.0004507772,0.0001787567,0.0002148885,0.00007205464,0.0001009122,0.00009010548,0.000171449,0.0001911909,0.0003406778,,
"Ba135",0.000004888861,0.000002107854,0.000005561605,0.000002438337,0.000004499628,0.000003400253,0.000004786598,0.000005283638,0.000004991366,0.0000052626,0.000006325484,0.000001771776,0.000002145668,0.0000005738274,0.000001183235,0.000002828866,0.000001706329,0.000001994858,0.000004656059,,
"Ba136",0.0008436748,0.0005755284,0.0009456715,0.001025508,0.00165596,0.000701546,0.0008830652,0.001058181,0.00121674,0.001661864,0.002842844,0.0009220787,0.0009437485,0.0008315275,0.001652539,0.003155447,0.0008173318,0.001289846,0.002418796,,
"Ba137",0.0009875083,0.0007004794,0.001036216,0.0007023753,0.001081285,0.001036827,0.0009832171,0.001094306,0.001062414,0.00103675,0.001168736,0.0006647702,0.000714122,0.0004347576,0.0005713935,0.0005833075,0.000709045,0.0007404724,0.001048138,,
"Ba138",0.0357163,0.03899853,0.03888364,0.0358674,0.03925743,0.03800077,0.03643335,0.03745805,0.03869851,0.03414851,0.03703191,0.03380817,0.03811643,0.03594946,0.03747404,0.03817876,0.03524145,0.0359344,0.04026024,,
"Ba140",0.0007381694,0.001210816,0.0005759278,0.001362023,0.0007368004,0.0009663766,0.0006909854,0.000556719,0.0007001396,0.0006503458,0.0005629,0.001300142,0.001322766,0.002112203,0.001745818,0.002054774,0.001236326,0.001141909,0.000600794,,
"Br79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Br81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Cd110",0.00007711634,0.0000351285,0.00002273136,0.00001664972,0.00003693318,0.00002570122,0.001350095,0.001101489,0.0007972848,0.0006867153,0.0002126066,0.0001305858,0.0001051226,0.00108947,0.001118639,0.00088247,0.00139457,0.001113792,0.001082326,,
"Cd111",0.0003475796,0.0003123593,0.0001789814,0.0002724618,0.0003528336,0.0003584034,0.006039985,0.00427299,0.002710677,0.002264835,0.0007105561,0.0006381171,0.0005154101,0.01855279,0.01217359,0.009713448,0.01096371,0.007574623,0.005421022,,
"Cd112",0.000287155,0.0003549008,0.0001670744,0.000309494,0.000395466,0.0004351448,0.004309052,0.003029057,0.001549346,0.001018981,0.0005150288,0.0004343796,0.0004029648,0.01461934,0.008300934,0.00631293,0.008317235,0.005475265,0.00472506,,
"Cd113",0.0001812191,0.000357472,0.0001947062,0.0002971991,0.0002344477,0.0002628671,0.002206502,0.001224849,0.0009084653,0.000758894,0.0003066607,0.0002599689,0.0002638798,0.009528257,0.004996236,0.003722501,0.00511966,0.003087862,0.002548466,,
"Cd114",0.0002082864,0.0004062911,0.0001895845,0.0003176243,0.000495312,0.0005510224,0.001344966,0.0007432003,0.0005998905,0.000608883,0.0002437758,0.0001962243,0.0002651402,0.006619543,0.003500875,0.002613465,0.003406185,0.001954005,0.001627743,,
"Cd115m",0.000001882413,0.000005263165,0.000001121448,0.000003549547,0.000002790977,0.000003694111,0.000007315448,0.000003778026,0.000003483543,0.000003716524,0.000001366913,0.000001930096,0.000003046227,0.00007914031,0.00003478569,0.00002951789,0.00002781251,0.00001443665,0.000008422545,,
"Cd116",0.0001835322,0.0004597325,0.0002112509,0.0003143747,0.0003541632,0.0004071688,0.0004040635,0.0002664471,0.0002922596,0.0003724058,0.0001661674,0.0001275141,0.0002825852,0.002867621,0.001434028,0.001005275,0.001186221,0.0006665569,0.0006693432,,
"Ce140",0.03458105,0.03104332,0.03432792,0.0349652,0.03642847,0.04534746,0.03242399,0.03106759,0.03175271,0.03090969,0.03164935,0.03227885,0.03298265,0.02812992,0.03002955,0.0282841,0.03061537,0.03036547,0.02854443,,
"Ce141",0.001797642,0.002862323,0.001433397,0.003406694,0.001988265,0.002282207,0.001662424,0.001213585,0.001566347,0.001538704,0.001392619,0.003195019,0.002752199,0.004830094,0.004639623,0.004862147,0.002886619,0.002677777,0.001479585,,
"Ce142",0.02748729,0.03207275,0.03291707,0.03555933,0.03845719,0.03822417,0.02700652,0.0271355,0.02735708,0.02910433,0.02808654,0.02872263,0.02877685,0.0264884,0.02879439,0.02723549,0.02602044,0.02620266,0.02409879,,
"Ce143",0.00006141439,0.0001161685,0.00005790748,0.0001290059,0.00007025069,0.00008702996,0.0000607179,0.00005144187,0.00005925369,0.0000574746,0.00004881658,0.0001044958,0.0001147046,0.0001865946,0.0001521883,0.0001827561,0.0001029498,0.00009775371,0.00005176975,,
"Ce144",0.01093719,0.01733969,0.01130105,0.01433836,0.01104426,0.01845941,0.01032392,0.009452309,0.009114254,0.008596136,0.008894367,0.01171149,0.01300812,0.01551574,0.01435598,0.01428703,0.01252622,0.01223798,0.008348005,,
"Cs133",0.03477444,0.03332592,0.03449466,0.03810851,0.02962114,0.02404466,0.03407981,0.03365133,0.03615331,0.03628719,0.03547755,0.02903582,0.03461216,0.02624349,0.02520914,0.02918645,0.02781552,0.02924805,0.029389,,
"Cs134",0.001436905,0.001014018,0.001525625,0.001161282,0.001251124,0.0009955002,0.001407983,0.00146644,0.001478702,0.001508851,0.001561282,0.00086875,0.001040255,0.0005202134,0.000608001,0.0006350967,0.0008325642,0.0009061539,0.001225585,,
"Cs135",0.01945479,0.01868578,0.01885749,0.02382609,0.01786298,0.01616495,0.01992846,0.02123665,0.02265585,0.02206845,0.02323322,0.0266113,0.02295885,0.01827239,0.01849963,0.02083894,0.02052929,0.02172969,0.02064951,,
"Cs136",0.00003766509,0.00003644016,0.00003769957,0.00005810271,0.00005271861,0.00003129466,0.00003900604,0.0000426746,0.00004943777,0.00005796063,0.000077984,0.00005670784,0.00005492219,0.00007299767,0.0001094937,0.0002505493,0.00004817582,0.00006594336,0.00007340962,,
"Cs137",0.03613457,0.03694493,0.03501958,0.03674376,0.03802529,0.03794979,0.03597891,0.0375953,0.03917921,0.03715003,0.03829651,0.03559681,0.03798448,0.03676592,0.03758445,0.03971336,0.03792842,0.03766306,0.03659597,,
"Dy160",0.000005423704,0.000001119081,0.000002288501,0.0000005033135,0.000001400104,0.00000006156024,0.00003164779,0.00002320563,0.00002100433,0.00001947339,0.00000717209,0.000004353782,0.000005449293,0.00002656788,0.00003854021,0.00002700804,0.00002698553,0.00002080935,0.00005773042,,
"Dy161",0.000006935065,0.000002244921,0.000001920799,0.0000009374052,0.000002793545,0.00000003937204,0.00009370204,0.00006181202,0.00006565174,0.00003912227,0.0000129456,0.00001402593,0.00001578963,0.0002500784,0.0002276699,0.0001276638,0.0001320078,0.00008758368,0.0001997825,,
"Dy162",0.000004248956,0.000001151229,0.0000008893922,0.0000004396299,0.000001320185,0.00000001443061,0.00007268933,0.00004733574,0.00006457834,0.00002696941,0.000008498395,0.000008451124,0.000009079105,0.0001826126,0.0001647906,0.00008723424,0.00009766025,0.00006285953,0.0001549592,,
"Dy163",0.000001421933,0.0000003445061,0.0000001874621,0.0000001153028,0.0000002509864,0.000000002154403,0.00003186726,0.00001960901,0.00003519517,0.00001022579,0.000002894241,0.000003150821,0.000003175991,0.0001017106,0.00008595095,0.00004509865,0.00004769524,0.00002913873,0.00006719249,,
"Dy164",0.0000007355814,0.0000001446199,0.00000006939996,0.00000004342158,0.00000007951633,0.0000000005713888,0.0000205645,0.00001227515,0.00002499311,0.000005865282,0.000001547362,0.000001587095,0.000001516339,0.00006647204,0.00005474704,0.00002745896,0.00003040368,0.00001790055,0.00004291558,,
